Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2021,2021-08-14,Augsburg,Hoffenheim,0,4,0.734658,3.44423
2021,2021-08-14,Wolfsburg,Bochum,1,0,2.78774,0.297792
2021,2021-08-22,Hoffenheim,Union Berlin,2,2,0.967015,2.35122
2021,2021-09-11,Union Berlin,Augsburg,0,0,1.71533,0.831722
2021,2021-09-18,Bayern Munich,Bochum,7,0,6.88189,1.23312
2021,2021-09-25,Hoffenheim,Wolfsburg,3,1,1.78602,0.504541
2021,2021-09-26,Freiburg,Augsburg,3,0,3.97075,0.191653
2021,2021-10-16,Union Berlin,Wolfsburg,2,0,1.32884,1.28381
2021,2021-10-23,Bayern Munich,Hoffenheim,4,0,3.31148,0.446465
2021,2021-10-23,Wolfsburg,Freiburg,0,2,1.72591,2.17659
2021,2021-10-30,Union Berlin,Bayern Munich,2,5,0.744794,3.14739
2021,2021-11-06,Bayern Munich,Freiburg,2,1,3.16849,0.910798
2021,2021-11-06,Bochum,Hoffenheim,2,0,2.12433,0.641687
2021,2021-11-06,Wolfsburg,Augsburg,1,0,0.910085,0.867311
2021,2021-11-19,Augsburg,Bayern Munich,2,1,0.614461,1.24258
2021,2021-11-27,Bochum,Freiburg,2,1,0.955994,2.12135
2021,2021-12-04,Augsburg,Bochum,2,3,2.86606,2.04524
2021,2021-12-11,Freiburg,Hoffenheim,1,2,2.25197,1.5054
2021,2021-12-15,Union Berlin,Freiburg,0,0,2.25007,1.22466
2021,2021-12-17,Bayern Munich,Wolfsburg,4,0,4.31291,1.41635
2021,2021-12-18,Bochum,Union Berlin,0,1,1.04215,0.999651
2021,2022-01-08,Hoffenheim,Augsburg,3,1,2.76228,0.749744
2021,2022-01-09,Bochum,Wolfsburg,1,0,1.57295,0.400404
2021,2022-01-15,Union Berlin,Hoffenheim,2,1,1.76684,0.61487
2021,2022-02-05,Augsburg,Union Berlin,2,0,1.83212,2.09718
2021,2022-02-12,Bochum,Bayern Munich,4,2,1.34846,1.87083
2021,2022-02-19,Augsburg,Freiburg,1,2,0.951389,2.56075
2021,2022-02-19,Wolfsburg,Hoffenheim,1,2,1.50299,1.07132
2021,2022-03-05,Wolfsburg,Union Berlin,1,0,0.411697,1.55639
