Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2021,Brentford,Arsenal,2,0,1.62,1.67
2021,Man United,Leeds,5,1,1.91,1.25
2021,Burnley,Brighton,1,2,1.0,1.21
2021,Chelsea,Crystal Palace,3,0,4.44,1.74
2021,Everton,Southampton,3,1,0.94,1.06
2021,Leicester,Wolves,1,0,1.61,1.03
2021,Watford,Aston Villa,3,2,0.83,0.63
2021,Norwich,Liverpool,0,3,0.2,4.68
2021,Newcastle,West Ham,2,4,0.84,1.7
2021,Tottenham,Man City,1,0,2.59,4.65
2021,Liverpool,Burnley,2,0,5.0,0.79
2021,Aston Villa,Newcastle,2,0,1.65,0.46
2021,Crystal Palace,Brentford,0,0,1.64,1.2
2021,Leeds,Everton,2,2,0.49,1.01
2021,Man City,Norwich,5,0,5.0,0.27
2021,Brighton,Watford,2,0,1.4,1.24
2021,Southampton,Man United,1,1,1.08,0.98
2021,Wolves,Tottenham,0,1,1.78,1.9
2021,Arsenal,Chelsea,0,2,2.22,2.42
2021,West Ham,Leicester,4,1,1.52,1.49
2021,Man City,Arsenal,5,0,5.0,1.78
2021,Aston Villa,Brentford,1,1,1.58,1.05
2021,Brighton,Everton,0,2,1.09,0.63
2021,Newcastle,Southampton,2,2,1.04,1.24
2021,Norwich,Leicester,1,2,0.58,0.8
2021,West Ham,Crystal Palace,2,2,2.1,1.33
2021,Liverpool,Chelsea,1,1,5.0,3.32
2021,Burnley,Leeds,1,1,1.44,1.04
2021,Tottenham,Watford,1,0,2.62,0.49
2021,Wolves,Man United,0,1,1.61,1.69
2021,Crystal Palace,Tottenham,3,0,1.67,2.26
2021,Arsenal,Norwich,1,0,1.76,0.2
2021,Brentford,Brighton,0,1,1.73,1.76
2021,Leicester,Man City,0,1,1.75,5.0
2021,Man United,Newcastle,4,1,1.81,0.73
2021,Southampton,West Ham,0,0,1.21,2.13
2021,Watford,Wolves,0,2,0.73,1.74
2021,Chelsea,Aston Villa,3,0,2.97,1.59
2021,Leeds,Liverpool,0,3,0.93,4.78
2021,Everton,Burnley,3,1,1.13,0.2
2021,Newcastle,Leeds,1,1,1.12,0.84
2021,Wolves,Brentford,0,2,2.01,0.98
2021,Burnley,Arsenal,0,1,0.8,1.54
2021,Liverpool,Crystal Palace,3,0,5.0,1.58
2021,Man City,Southampton,0,0,5.0,1.05
2021,Norwich,Watford,1,3,0.5,0.94
2021,Aston Villa,Everton,3,0,1.38,0.76
2021,Brighton,Leicester,2,1,1.47,0.91
2021,West Ham,Man United,1,2,2.09,1.44
2021,Tottenham,Chelsea,0,3,2.91,3.03
2021,Chelsea,Man City,0,1,3.39,4.99
2021,Man United,Aston Villa,0,1,1.57,1.02
2021,Everton,Norwich,2,0,1.04,0.51
2021,Leeds,West Ham,1,2,1.56,1.65
2021,Leicester,Burnley,2,2,1.86,0.84
2021,Watford,Newcastle,1,1,0.2,0.95
2021,Brentford,Liverpool,3,3,1.47,5.0
2021,Southampton,Wolves,0,1,1.02,1.3
2021,Arsenal,Tottenham,3,1,2.13,1.92
2021,Crystal Palace,Brighton,1,1,2.23,1.55
2021,Man United,Everton,1,1,1.96,0.56
2021,Burnley,Norwich,0,0,1.57,0.2
2021,Chelsea,Southampton,3,1,4.09,1.63
2021,Leeds,Watford,1,0,0.55,0.4
2021,Wolves,Newcastle,2,1,1.53,0.78
2021,Brighton,Arsenal,0,0,1.07,1.74
2021,Crystal Palace,Leicester,2,2,1.46,1.58
2021,Tottenham,Aston Villa,2,1,2.59,1.84
2021,West Ham,Brentford,1,2,1.71,1.04
2021,Liverpool,Man City,2,2,5.0,4.71
2021,Watford,Liverpool,0,5,0.82,5.0
2021,Aston Villa,Wolves,2,3,1.06,1.26
2021,Leicester,Man United,4,2,1.86,1.62
2021,Man City,Burnley,2,0,5.0,0.4
2021,Norwich,Brighton,0,0,0.64,1.39
2021,Southampton,Leeds,1,0,1.17,0.84
2021,Brentford,Chelsea,0,1,1.21,3.19
2021,Everton,West Ham,0,1,1.2,1.34
2021,Newcastle,Tottenham,2,3,1.85,2.49
2021,Arsenal,Crystal Palace,2,2,1.73,1.7
2021,Arsenal,Aston Villa,3,1,1.8,1.58
2021,Chelsea,Norwich,7,0,4.29,0.2
2021,Crystal Palace,Newcastle,1,1,2.17,1.1
2021,Everton,Watford,2,5,1.39,1.26
2021,Leeds,Wolves,1,1,0.81,0.93
2021,Southampton,Burnley,2,2,0.77,0.58
2021,Brighton,Man City,1,4,1.58,5.0
2021,Brentford,Leicester,1,2,1.54,1.71
2021,West Ham,Tottenham,1,0,1.99,2.84
2021,Man United,Liverpool,0,5,1.59,5.0
2021,Leicester,Arsenal,0,2,1.99,1.42
2021,Burnley,Brentford,3,1,0.71,1.33
2021,Liverpool,Brighton,2,2,5.0,1.54
2021,Man City,Crystal Palace,0,2,5.0,1.44
2021,Newcastle,Chelsea,0,3,0.9,2.58
2021,Watford,Southampton,0,1,0.59,1.17
2021,Tottenham,Man United,0,3,2.99,0.91
2021,Norwich,Leeds,1,2,0.52,0.85
2021,Aston Villa,West Ham,1,4,1.32,1.64
2021,Wolves,Everton,2,1,1.51,0.48
2021,Southampton,Aston Villa,1,0,1.21,1.5
2021,Man United,Man City,0,2,2.07,5.0
2021,Brentford,Norwich,1,2,0.96,0.2
2021,Chelsea,Burnley,1,1,4.07,1.05
2021,Crystal Palace,Wolves,2,0,2.01,2.54
2021,Brighton,Newcastle,1,1,1.81,1.36
2021,Arsenal,Watford,1,0,2.48,0.82
2021,Everton,Tottenham,0,0,0.99,2.59
2021,Leeds,Leicester,1,1,0.63,1.34
2021,West Ham,Liverpool,3,2,1.82,4.91
2021,Leicester,Chelsea,0,3,2.58,2.46
2021,Aston Villa,Brighton,2,0,1.87,0.72
2021,Burnley,Crystal Palace,3,3,0.92,1.85
2021,Newcastle,Brentford,3,3,1.22,0.78
2021,Norwich,Southampton,2,1,0.21,1.1
2021,Watford,Man United,4,1,0.49,1.43
2021,Wolves,West Ham,1,0,1.51,1.36
2021,Liverpool,Arsenal,4,0,5.0,1.94
2021,Man City,Everton,3,0,5.0,0.94
2021,Tottenham,Leeds,2,1,2.68,1.02
2021,Arsenal,Newcastle,2,0,1.87,0.92
2021,Crystal Palace,Aston Villa,1,2,2.01,1.6
2021,Liverpool,Southampton,4,0,5.0,0.75
2021,Norwich,Wolves,0,0,0.3,0.96
2021,Brighton,Leeds,0,0,2.23,0.86
2021,Brentford,Everton,1,0,1.01,1.2
2021,Leicester,Watford,4,2,2.52,0.96
2021,Man City,West Ham,2,1,5.0,1.42
2021,Chelsea,Man United,1,1,4.33,1.1
2021,Newcastle,Norwich,1,1,1.35,0.64
2021,Leeds,Crystal Palace,1,0,0.57,1.45
2021,Southampton,Leicester,2,2,0.2,1.06
2021,Watford,Chelsea,1,2,0.66,2.67
2021,West Ham,Brighton,1,1,2.56,0.79
2021,Wolves,Burnley,0,0,1.34,0.91
2021,Aston Villa,Man City,1,2,2.13,4.64
2021,Everton,Liverpool,1,4,1.51,4.88
2021,Tottenham,Brentford,2,0,2.57,1.32
2021,Man United,Arsenal,3,2,1.76,1.51
2021,West Ham,Chelsea,3,2,2.01,2.97
2021,Newcastle,Burnley,1,0,1.24,1.1
2021,Southampton,Brighton,1,1,1.64,0.86
2021,Wolves,Liverpool,0,1,2.24,4.2
2021,Watford,Man City,1,3,0.69,5.0
2021,Leeds,Brentford,2,2,1.0,0.94
2021,Man United,Crystal Palace,1,0,1.61,1.29
2021,Tottenham,Norwich,3,0,2.7,0.67
2021,Aston Villa,Leicester,2,1,1.75,1.18
2021,Everton,Arsenal,2,1,1.41,1.82
2021,Brentford,Watford,2,1,1.73,0.82
2021,Man City,Wolves,1,0,5.0,1.0
2021,Arsenal,Southampton,3,0,2.41,1.08
2021,Chelsea,Leeds,3,2,3.88,0.76
2021,Liverpool,Aston Villa,1,0,5.0,1.09
2021,Norwich,Man United,0,1,0.65,1.28
2021,Burnley,West Ham,0,0,1.01,1.97
2021,Leicester,Newcastle,4,0,2.06,1.24
2021,Crystal Palace,Everton,3,1,2.29,0.89
2021,Norwich,Aston Villa,0,2,0.7,1.19
2021,Man City,Leeds,7,0,5.0,0.67
2021,Brighton,Wolves,0,1,1.64,1.4
2021,Crystal Palace,Southampton,2,2,1.55,1.6
2021,Arsenal,West Ham,2,0,1.79,1.16
2021,Chelsea,Everton,1,1,4.29,1.16
2021,Liverpool,Newcastle,3,1,5.0,1.18
2021,Leeds,Arsenal,1,4,0.89,1.4
2021,Newcastle,Man City,0,4,1.22,4.9
2021,Wolves,Chelsea,0,0,1.83,3.06
2021,Tottenham,Liverpool,2,2,2.62,4.77
2021,Man City,Leicester,6,3,5.0,1.22
2021,Norwich,Arsenal,0,5,0.2,1.8
