Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2021,2021-08-06,Monaco,Nantes,1,1,1.76899,0.239715
2021,2021-08-07,Lyon,Brest,1,1,1.17521,1.01966
2021,2021-08-08,Rennes,Lens,1,1,0.598423,2.13637
2021,2021-08-08,Nice,Reims,0,0,1.09947,0.158446
2021,2021-08-08,Strasbourg,Angers,0,2,0.267011,1.41617
2021,2021-08-08,Metz,Lille,3,3,1.02062,1.62245
2021,2021-08-08,Montpellier,Marseille,2,3,0.764726,2.15797
2021,2021-08-13,Lorient,Monaco,1,0,0.779459,0.86536
2021,2021-08-14,Lille,Nice,0,4,0.768573,2.33694
2021,2021-08-15,Angers,Lyon,3,0,1.6418,0.977124
2021,2021-08-15,Brest,Rennes,1,1,2.2991,1.32152
2021,2021-08-15,Nantes,Metz,2,0,1.7221,0.885265
2021,2021-08-15,Reims,Montpellier,3,3,1.30758,1.9999
2021,2021-08-15,Marseille,Bordeaux,2,2,1.05273,0.318288
2021,2021-08-21,Monaco,Lens,0,2,0.241985,0.598613
2021,2021-08-22,Rennes,Nantes,1,0,0.869605,0.264197
2021,2021-08-22,Strasbourg,Troyes,1,1,2.95463,1.14502
2021,2021-08-22,Montpellier,Lorient,3,1,3.64876,0.462326
2021,2021-08-22,Metz,Reims,1,1,0.670048,1.18358
2021,2021-08-22,Bordeaux,Angers,1,1,0.603119,1.01295
2021,2021-08-27,Nantes,Lyon,0,1,1.35394,1.44128
2021,2021-08-28,Nice,Bordeaux,4,0,2.52768,0.867457
2021,2021-08-29,Strasbourg,Brest,3,1,1.22705,0.592574
2021,2021-08-29,Lens,Lorient,2,2,1.13941,1.2163
2021,2021-08-29,Lille,Montpellier,2,1,2.46405,0.719288
2021,2021-08-29,Troyes,Monaco,1,2,0.589287,1.74073
2021,2021-08-29,Angers,Rennes,2,0,2.63179,1.28738
2021,2021-09-10,Lorient,Lille,2,1,1.08464,1.51807
2021,2021-09-11,Monaco,Marseille,0,2,0.890728,1.36062
2021,2021-09-12,Lyon,Strasbourg,3,1,1.69926,2.0448
2021,2021-09-12,Bordeaux,Lens,2,3,1.00806,3.12454
2021,2021-09-12,Brest,Angers,1,1,1.47981,0.998328
2021,2021-09-12,Metz,Troyes,0,2,0.781252,0.86724
2021,2021-09-12,Rennes,Reims,0,2,0.805521,0.871123
2021,2021-09-12,Nantes,Nice,0,2,2.1566,2.45276
2021,2021-09-17,Strasbourg,Metz,3,0,2.04719,0.612439
2021,2021-09-18,Lens,Lille,1,0,0.486611,1.20992
2021,2021-09-19,Nice,Monaco,2,2,1.94463,2.59113
2021,2021-09-19,Angers,Nantes,1,4,0.609027,2.59886
2021,2021-09-19,Reims,Lorient,0,0,0.977907,0.174553
2021,2021-09-19,Troyes,Montpellier,1,1,0.489047,0.249763
2021,2021-09-19,Marseille,Rennes,2,0,2.21352,1.06105
2021,2021-09-22,Lille,Reims,2,1,1.18526,1.1754
2021,2021-09-22,Montpellier,Bordeaux,3,3,1.68484,1.269
2021,2021-09-22,Nantes,Brest,3,1,1.66414,0.563562
2021,2021-09-22,Angers,Marseille,0,0,0.470168,0.494217
2021,2021-09-22,Lens,Strasbourg,0,1,2.68397,1.09537
2021,2021-09-22,Lorient,Nice,1,0,0.619405,2.16916
2021,2021-09-22,Lyon,Troyes,3,1,2.47231,0.943884
2021,2021-09-25,Strasbourg,Lille,1,2,0.495724,2.58598
2021,2021-09-25,Lyon,Lorient,1,1,0.843214,0.53504
2021,2021-09-26,Troyes,Angers,1,1,1.25966,1.28496
2021,2021-09-26,Reims,Nantes,3,1,1.23068,0.768528
2021,2021-09-26,Marseille,Lens,2,3,2.01958,2.4899
2021,2021-09-26,Bordeaux,Rennes,1,1,0.601971,1.78121
2021,2021-09-26,Brest,Metz,1,2,1.66801,0.668594
2021,2021-10-01,Lens,Reims,2,0,2.36403,0.086376
2021,2021-10-02,Montpellier,Strasbourg,1,1,1.05711,0.293859
2021,2021-10-02,Nice,Brest,2,1,4.36782,0.31524
2021,2021-10-03,Angers,Metz,3,2,2.81377,0.895212
2021,2021-10-03,Monaco,Bordeaux,3,0,1.7267,0.574838
2021,2021-10-03,Nantes,Troyes,2,0,1.71042,1.64687
2021,2021-10-03,Lille,Marseille,2,0,3.52308,0.563626
2021,2021-10-16,Lyon,Monaco,2,0,2.81711,0.514906
2021,2021-10-17,Troyes,Nice,1,0,1.42208,0.513333
2021,2021-10-17,Bordeaux,Nantes,1,1,0.673783,1.27892
2021,2021-10-17,Brest,Reims,1,1,0.508125,1.03949
2021,2021-10-17,Metz,Rennes,0,3,0.97348,3.36021
2021,2021-10-17,Montpellier,Lens,1,0,1.62492,1.19027
2021,2021-10-17,Marseille,Lorient,4,1,1.70821,2.09245
2021,2021-10-23,Lille,Brest,1,1,1.6786,1.14162
2021,2021-10-24,Monaco,Montpellier,3,1,2.11858,1.16841
2021,2021-10-24,Rennes,Strasbourg,1,0,1.35771,1.02588
2021,2021-10-24,Reims,Troyes,1,2,1.02175,0.675059
2021,2021-10-24,Lorient,Bordeaux,1,1,1.78373,1.06479
2021,2021-10-24,Lens,Metz,4,1,2.37156,0.790081
2021,2021-10-24,Nice,Lyon,3,2,1.99644,1.41733
2021,2021-10-27,Nice,Marseille,1,1,1.50504,0.341475
2021,2021-10-30,Lyon,Lens,2,1,2.02936,2.12966
2021,2021-10-31,Angers,Nice,1,2,1.21195,0.897424
2021,2021-10-31,Bordeaux,Reims,3,2,1.94845,1.81401
2021,2021-10-31,Montpellier,Nantes,2,0,1.47174,0.856557
2021,2021-10-31,Strasbourg,Lorient,4,0,3.09428,0.666205
2021,2021-10-31,Troyes,Rennes,2,2,1.80006,1.51345
2021,2021-10-31,Brest,Monaco,2,0,1.77116,0.507286
2021,2021-11-05,Lens,Troyes,4,0,3.16809,0.537488
2021,2021-11-06,Lille,Angers,1,1,1.74491,1.15058
2021,2021-11-07,Nice,Montpellier,0,1,1.63624,0.641977
2021,2021-11-07,Reims,Monaco,0,0,0.33707,0.973878
2021,2021-11-07,Rennes,Lyon,4,1,3.97971,0.953137
2021,2021-11-07,Lorient,Brest,1,2,1.16964,2.34992
2021,2021-11-07,Marseille,Metz,0,0,1.66928,1.36054
2021,2021-11-07,Nantes,Strasbourg,2,2,2.26281,1.92452
2021,2021-11-19,Monaco,Lille,2,2,0.938265,2.16486
2021,2021-11-20,Rennes,Montpellier,2,0,3.99657,0.298729
2021,2021-11-21,Brest,Lens,4,0,1.44486,1.7144
2021,2021-11-21,Angers,Lorient,1,0,1.46206,0.420713
2021,2021-11-21,Metz,Bordeaux,3,3,1.32669,2.68178
2021,2021-11-21,Strasbourg,Reims,1,1,2.02517,1.25894
2021,2021-11-26,Lens,Angers,2,2,1.60255,2.00176
2021,2021-11-27,Lille,Nantes,1,1,1.46803,0.358991
2021,2021-11-27,Nice,Metz,0,1,1.3496,0.526632
2021,2021-11-28,Bordeaux,Brest,1,2,1.4572,2.26589
2021,2021-11-28,Lorient,Rennes,0,2,0.633986,0.989174
2021,2021-11-28,Monaco,Strasbourg,1,1,1.58216,0.945132
2021,2021-11-28,Montpellier,Lyon,0,1,1.02178,1.17882
2021,2021-11-28,Marseille,Troyes,1,0,1.15323,0.145868
2021,2021-12-01,Rennes,Lille,1,2,0.799539,0.708091
2021,2021-12-01,Nantes,Marseille,0,1,0.174142,1.63717
2021,2021-12-01,Troyes,Lorient,2,0,1.12178,0.433668
2021,2021-12-01,Lyon,Reims,1,2,2.85052,1.05349
2021,2021-12-01,Metz,Montpellier,1,3,1.47536,1.41193
2021,2021-12-01,Angers,Monaco,1,3,1.03304,3.50553
2021,2021-12-01,Strasbourg,Bordeaux,5,2,3.43125,1.48801
2021,2021-12-04,Marseille,Brest,1,2,1.92281,1.55388
2021,2021-12-04,Lille,Troyes,2,1,1.79406,0.28995
2021,2021-12-05,Bordeaux,Lyon,2,2,2.60089,1.84671
2021,2021-12-05,Lorient,Nantes,0,1,0.619711,0.268938
2021,2021-12-05,Monaco,Metz,4,0,1.91421,0.547708
2021,2021-12-05,Reims,Angers,1,2,1.34274,1.7715
2021,2021-12-05,Nice,Strasbourg,0,3,1.36817,2.7263
2021,2021-12-10,Nantes,Lens,3,2,1.43665,0.840732
2021,2021-12-11,Brest,Montpellier,0,4,0.691352,1.67645
2021,2021-12-12,Strasbourg,Marseille,0,2,1.7897,0.708922
2021,2021-12-12,Rennes,Nice,1,2,1.60766,1.8035
2021,2021-12-12,Troyes,Bordeaux,1,2,1.26919,1.13993
2021,2021-12-12,Lille,Lyon,0,0,2.15596,0.422128
2021,2021-12-12,Metz,Lorient,4,1,1.14227,1.70684
2021,2021-12-22,Troyes,Brest,1,1,1.05921,0.661085
2021,2021-12-22,Nice,Lens,2,1,0.866194,1.72232
2021,2021-12-22,Montpellier,Angers,4,1,0.998835,0.747023
2021,2021-12-22,Lyon,Metz,1,1,2.79025,0.353946
2021,2021-12-22,Marseille,Reims,1,1,1.70528,1.05686
2021,2021-12-22,Bordeaux,Lille,2,3,1.00922,1.23123
2021,2021-12-22,Monaco,Rennes,2,1,1.62819,1.29487
2021,2022-01-07,Bordeaux,Marseille,0,1,0.413069,2.1562
2021,2022-01-08,Lens,Rennes,1,0,0.579974,0.32823
2021,2022-01-09,Brest,Nice,0,3,1.61742,1.44947
2021,2022-01-09,Metz,Strasbourg,0,2,0.2706,3.70382
2021,2022-01-09,Nantes,Monaco,0,0,0.364991,0.69482
2021,2022-01-14,Nice,Nantes,2,1,2.27691,0.396645
2021,2022-01-16,Troyes,Lyon,0,1,0.485256,3.02674
2021,2022-01-16,Strasbourg,Montpellier,3,1,1.4597,1.02915
2021,2022-01-16,Marseille,Lille,1,1,1.62744,0.966892
2021,2022-01-16,Lorient,Angers,0,0,0.480599,0.554657
2021,2022-01-16,Rennes,Bordeaux,6,0,4.07838,0.412647
2021,2022-01-16,Reims,Metz,0,1,0.651857,0.713423
2021,2022-01-19,Montpellier,Troyes,0,1,0.575051,0.548481
2021,2022-01-19,Lille,Lorient,3,1,1.58626,1.21798
2021,2022-01-22,Brest,Lille,2,0,1.29391,1.37501
2021,2022-01-22,Lens,Marseille,0,2,0.618083,1.35491
2021,2022-01-23,Metz,Nice,0,2,0.233858,1.94674
2021,2022-01-23,Angers,Troyes,2,1,2.29724,1.63676
2021,2022-01-23,Bordeaux,Strasbourg,4,3,1.65394,1.49036
2021,2022-01-23,Nantes,Lorient,4,2,1.40263,2.03139
2021,2022-01-23,Montpellier,Monaco,3,2,2.2292,1.24246
2021,2022-02-04,Marseille,Angers,5,2,2.34718,0.686866
2021,2022-02-05,Monaco,Lyon,2,0,2.28974,1.30679
2021,2022-02-06,Rennes,Brest,2,0,2.77542,0.220673
2021,2022-02-06,Troyes,Metz,0,0,0.435111,0.566752
2021,2022-02-06,Lorient,Lens,2,0,1.57013,0.392243
2021,2022-02-06,Reims,Bordeaux,5,0,2.05989,0.120599
2021,2022-02-06,Strasbourg,Nantes,1,0,1.32815,0.261773
2021,2022-02-12,Montpellier,Lille,0,1,0.740905,1.51288
2021,2022-02-12,Lyon,Nice,2,0,2.75209,0.0804562
2021,2022-02-13,Lens,Bordeaux,3,2,2.18631,0.758048
2021,2022-02-13,Metz,Marseille,1,2,0.792396,2.31854
2021,2022-02-13,Nantes,Reims,1,0,0.660721,0.613315
2021,2022-02-13,Monaco,Lorient,0,0,1.31384,0.132654
2021,2022-02-13,Angers,Strasbourg,0,1,0.258677,0.335367
2021,2022-02-13,Brest,Troyes,5,1,2.76844,0.79069
2021,2022-02-18,Lille,Metz,0,0,1.18868,0.279242
2021,2022-02-19,Lens,Lyon,1,1,0.655911,1.18398
2021,2022-02-20,Nice,Angers,1,0,1.29968,0.98327
2021,2022-02-20,Lorient,Montpellier,0,1,0.623848,0.376147
2021,2022-02-20,Reims,Brest,1,1,0.540071,1.69455
2021,2022-02-20,Rennes,Troyes,4,1,3.26228,0.762222
2021,2022-02-20,Bordeaux,Monaco,1,1,0.85473,0.951923
2021,2022-02-25,Montpellier,Rennes,2,4,1.16985,1.81992
2021,2022-02-26,Strasbourg,Nice,0,0,1.03088,0.148653
2021,2022-02-27,Lyon,Lille,0,1,1.48658,0.735102
2021,2022-02-27,Troyes,Marseille,1,1,2.00647,1.01636
2021,2022-02-27,Metz,Nantes,0,0,0.263909,0.61206
2021,2022-02-27,Angers,Lens,1,2,0.601212,0.688779
2021,2022-02-27,Monaco,Reims,1,2,1.7487,1.66986
2021,2022-02-27,Brest,Lorient,0,1,0.210366,2.16888
2021,2022-03-04,Lorient,Lyon,1,4,1.26241,2.61126
2021,2022-03-05,Lens,Brest,0,1,1.83072,0.372083
2021,2022-03-06,Rennes,Angers,2,0,2.39062,0.316774
2021,2022-03-06,Bordeaux,Troyes,0,2,0.884355,2.3042
2021,2022-03-06,Nantes,Montpellier,2,0,1.55928,0.200382
2021,2022-03-06,Reims,Strasbourg,1,1,0.909924,0.744534
2021,2022-03-06,Marseille,Monaco,0,1,0.865388,0.69435
2021,2022-03-12,Montpellier,Nice,0,0,2.49092,0.757229
2021,2022-03-12,Troyes,Nantes,1,0,1.18612,0.490874
