Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2021,2021-08-13,Valencia,Getafe,1,0,1.57861,1.19326
2021,2021-08-14,Cadiz,Levante,1,1,0.993589,0.915954
2021,2021-08-14,Alaves,Real Madrid,1,4,1.41097,2.15551
2021,2021-08-16,Villarreal,Granada,0,0,1.21791,0.246735
2021,2021-08-21,Alaves,Mallorca,0,1,0.920977,0.82407
2021,2021-08-21,Granada,Valencia,1,1,0.752693,1.50025
2021,2021-08-22,Levante,Real Madrid,3,3,1.63837,2.14125
2021,2021-08-23,Getafe,Sevilla,0,1,0.391853,0.813891
2021,2021-08-27,Valencia,Alaves,3,0,2.33998,0.360675
2021,2021-08-28,Elche,Sevilla,1,1,0.855435,1.70035
2021,2021-08-29,Barcelona,Getafe,2,1,1.05122,0.283315
2021,2021-08-29,Cadiz,Osasuna,2,3,1.36149,2.28418
2021,2021-09-12,Osasuna,Valencia,1,4,0.457252,0.924929
2021,2021-09-13,Getafe,Elche,0,1,0.3796,1.07401
2021,2021-09-18,Elche,Levante,1,1,0.536512,1.12463
2021,2021-09-18,Alaves,Osasuna,0,2,0.251601,1.32313
2021,2021-09-19,Mallorca,Villarreal,0,0,0.529054,1.63437
2021,2021-09-19,Valencia,Real Madrid,1,2,0.647432,1.36343
2021,2021-09-20,Barcelona,Granada,1,1,1.88236,0.612728
2021,2021-09-22,Villarreal,Elche,4,1,2.77855,1.09551
2021,2021-09-22,Sevilla,Valencia,3,1,1.20708,0.442431
2021,2021-09-22,Real Madrid,Mallorca,6,1,2.3746,1.19165
2021,2021-09-23,Cadiz,Barcelona,0,0,1.40061,0.361756
2021,2021-09-25,Real Madrid,Villarreal,0,0,1.53636,0.666401
2021,2021-09-26,Mallorca,Osasuna,2,3,2.74158,1.63553
2021,2021-09-26,Barcelona,Levante,3,0,3.11328,0.712689
2021,2021-10-02,Mallorca,Levante,1,0,0.442135,1.43388
2021,2021-10-02,Cadiz,Valencia,0,0,0.156791,1.43757
2021,2021-10-03,Granada,Sevilla,1,0,0.0843984,1.4028
2021,2021-10-16,Levante,Getafe,0,0,0.83295,0.557421
2021,2021-10-17,Villarreal,Osasuna,1,2,0.713142,0.957297
2021,2021-10-17,Barcelona,Valencia,3,1,2.37862,0.378333
2021,2021-10-22,Osasuna,Granada,1,1,1.24456,0.434896
2021,2021-10-23,Valencia,Mallorca,2,2,1.47094,0.807566
2021,2021-10-23,Cadiz,Alaves,0,2,2.00294,1.86733
2021,2021-10-24,Sevilla,Levante,5,3,1.82952,1.28779
2021,2021-10-24,Barcelona,Real Madrid,1,2,1.58789,1.5463
2021,2021-10-26,Alaves,Elche,1,0,1.81349,0.281657
2021,2021-10-26,Villarreal,Cadiz,3,3,1.95102,1.53615
2021,2021-10-27,Real Madrid,Osasuna,0,0,0.655438,0.71046
2021,2021-10-27,Mallorca,Sevilla,1,1,2.27366,1.42068
2021,2021-10-28,Granada,Getafe,1,1,2.26351,0.581107
2021,2021-10-30,Elche,Real Madrid,1,2,1.15068,1.60735
2021,2021-10-30,Sevilla,Osasuna,2,0,2.43378,0.790454
2021,2021-10-30,Valencia,Villarreal,2,0,1.66395,0.804209
2021,2021-10-30,Barcelona,Alaves,1,1,1.56007,0.599628
2021,2021-10-31,Cadiz,Mallorca,1,1,1.80233,1.03662
2021,2021-11-01,Levante,Granada,0,3,1.33088,1.46089
2021,2021-11-06,Alaves,Levante,2,1,1.53471,0.802633
2021,2021-11-07,Mallorca,Elche,2,2,2.04894,0.679919
2021,2021-11-07,Villarreal,Getafe,1,0,1.49263,0.153162
2021,2021-11-20,Sevilla,Alaves,2,2,1.37509,1.47367
2021,2021-11-21,Getafe,Cadiz,4,0,1.54295,0.370193
2021,2021-11-21,Granada,Real Madrid,1,4,0.56422,3.77854
2021,2021-11-27,Mallorca,Getafe,0,0,0.472696,0.739333
2021,2021-11-27,Villarreal,Barcelona,1,3,1.55977,3.37249
2021,2021-11-28,Real Madrid,Sevilla,2,1,1.2476,1.30167
2021,2021-11-29,Osasuna,Elche,1,1,2.13729,1.05682
2021,2021-12-03,Granada,Alaves,2,1,1.08266,1.38466
2021,2021-12-04,Sevilla,Villarreal,1,0,0.46965,1.90918
2021,2021-12-05,Levante,Osasuna,0,0,0.510046,0.250564
2021,2021-12-05,Elche,Cadiz,3,1,2.33084,1.50592
2021,2021-12-11,Alaves,Getafe,1,1,0.989074,1.04682
2021,2021-12-11,Valencia,Elche,2,1,1.67544,1.12996
2021,2021-12-12,Osasuna,Barcelona,2,2,0.367626,1.3894
2021,2021-12-13,Cadiz,Granada,1,1,0.6189,1.12436
2021,2021-12-18,Barcelona,Elche,3,2,2.96397,1.26552
2021,2021-12-19,Granada,Mallorca,4,1,2.71538,1.08613
2021,2021-12-19,Getafe,Osasuna,1,0,1.09096,0.712207
2021,2021-12-19,Real Madrid,Cadiz,0,0,2.79615,0.242189
2021,2021-12-20,Levante,Valencia,3,4,2.73541,2.10622
2021,2021-12-21,Villarreal,Alaves,5,2,3.87986,0.310052
2021,2021-12-21,Sevilla,Barcelona,1,1,0.299426,1.90576
2021,2022-01-02,Getafe,Real Madrid,1,0,0.900039,0.913167
2021,2022-01-02,Elche,Granada,0,0,1.44824,0.965958
2021,2022-01-02,Mallorca,Barcelona,0,1,0.988536,1.61795
2021,2022-01-03,Villarreal,Levante,5,0,4.19047,0.423407
2021,2022-01-03,Cadiz,Sevilla,0,1,0.238594,1.28387
2021,2022-01-08,Granada,Barcelona,1,1,0.747757,0.967234
2021,2022-01-08,Levante,Mallorca,2,0,1.32485,1.16534
2021,2022-01-08,Real Madrid,Valencia,4,1,4.1129,1.12054
2021,2022-01-09,Osasuna,Cadiz,2,0,3.13396,0.210192
2021,2022-01-09,Sevilla,Getafe,1,0,0.592329,0.114607
2021,2022-01-16,Elche,Villarreal,1,0,0.204155,0.755426
2021,2022-01-19,Valencia,Sevilla,1,1,0.573449,1.17995
2021,2022-01-20,Getafe,Granada,4,2,1.18065,0.856476
2021,2022-01-22,Levante,Cadiz,0,2,1.08487,0.911469
2021,2022-01-22,Villarreal,Mallorca,3,0,2.19824,1.59983
2021,2022-01-23,Granada,Osasuna,0,2,0.582823,2.17061
2021,2022-01-23,Real Madrid,Elche,2,2,3.82847,0.725434
2021,2022-01-23,Alaves,Barcelona,0,1,0.733223,1.14948
2021,2022-02-04,Getafe,Levante,3,0,1.1718,0.556029
2021,2022-02-05,Elche,Alaves,3,1,1.77379,1.12234
2021,2022-02-05,Mallorca,Cadiz,2,1,2.23498,0.887418
2021,2022-02-05,Osasuna,Sevilla,0,0,0.397154,1.34983
2021,2022-02-06,Real Madrid,Granada,1,0,1.47173,0.39522
2021,2022-02-11,Sevilla,Elche,2,0,0.767939,0.28732
2021,2022-02-12,Villarreal,Real Madrid,0,0,0.460031,2.11101
2021,2022-02-13,Alaves,Valencia,2,1,2.03492,1.18082
2021,2022-02-19,Granada,Villarreal,1,4,2.12749,5.34192
2021,2022-02-19,Cadiz,Getafe,1,1,0.653762,0.885378
2021,2022-02-19,Real Madrid,Alaves,3,0,3.02281,0.63724
2021,2022-02-20,Valencia,Barcelona,1,4,0.774868,2.4686
2021,2022-02-25,Levante,Elche,3,0,2.13075,1.0394
2021,2022-02-26,Mallorca,Valencia,0,1,1.38849,0.71964
2021,2022-02-26,Getafe,Alaves,2,2,1.2384,1.33865
2021,2022-02-28,Granada,Cadiz,0,0,0.240876,0.902122
2021,2022-03-04,Alaves,Sevilla,0,0,2.03396,1.07969
2021,2022-03-05,Osasuna,Villarreal,1,0,1.52659,0.522906
2021,2022-03-05,Valencia,Granada,3,1,1.83454,0.209802
2021,2022-03-06,Elche,Barcelona,1,2,0.850008,4.0864
2021,2022-03-12,Getafe,Valencia,0,0,1.20664,0.250843
2021,2022-03-12,Granada,Elche,0,1,1.34208,1.32937
2021,2022-03-13,Barcelona,Osasuna,4,0,3.90343,0.110884
2021,2022-03-14,Mallorca,Real Madrid,0,3,1.17685,1.81712
2021,2022-03-19,Alaves,Granada,2,3,2.13094,2.19056
2021,2022-03-19,Elche,Valencia,0,1,0.509372,0.979663
2021,2022-03-19,Osasuna,Levante,3,1,2.67397,1.21866
2021,2022-03-20,Cadiz,Villarreal,1,0,1.4273,0.192945
2021,2022-03-20,Real Madrid,Barcelona,0,4,0.627785,4.25983
2021,2022-04-02,Levante,Villarreal,2,0,1.71737,1.10171
2021,2022-04-02,Getafe,Mallorca,1,0,1.69452,0.308149
2021,2022-04-03,Barcelona,Sevilla,1,0,1.93362,0.488161
2021,2022-04-03,Valencia,Cadiz,0,0,0.107859,0.196233
2021,2022-04-08,Sevilla,Granada,4,2,3.30823,0.981555
2021,2022-04-09,Real Madrid,Getafe,2,0,1.62196,0.407933
2021,2022-04-10,Osasuna,Alaves,1,0,2.67295,0.779772
2021,2022-04-10,Levante,Barcelona,2,3,2.98698,1.36074
2021,2022-04-16,Elche,Mallorca,3,0,1.49995,1.06428
2021,2022-04-16,Valencia,Osasuna,1,2,1.20904,1.06317
2021,2022-04-16,Getafe,Villarreal,1,2,0.939154,2.82388
